id,gender,hours,height,weight,clevel,sportg,pic,age,teamsind,student
238,female,12,160,80,University,other,1,20,Individual,y
239,male,14,181,85,National/International,other,1,20,Individual,y
240,male,10,178,88,University,gym,0,22,Individual,y
241,male,5,174,88,University,rugby,1,19,Team,y
242,female,4,166,71,University,netball,0,19,Team,y
243,female,6,166,67,University,football,0,19,Team,y
244,female,6,159,73,University,athletics,1,19,Individual,y
245,male,5,181,94,National/International,rugby,1,20,Team,y
246,female,7,166,69,Recreational,football,0,20,Team,y
247,female,12,175,76,University,other,1,19,Individual,y
248,male,0,180,79,University,rugby,0,19,Team,y
249,male,3,176,61,University,hockey,0,21,Team,y
250,female,7.5,162,72,University,hockey,1,19,Team,y
251,female,5,160,62.4,Recreational,netball,1,19,Team,y
252,male,10,174,83,University,rugby,1,20,Team,y
253,male,10,187,81,University,football,1,21,Team,y
254,male,8,181,96,University,gym,0,22,Individual,y
255,male,9,188,84,University,hockey,1,20,Team,y
256,female,1,168,56,Recreational,basketball,0,21,Team,y
257,male,10,177,76,University,rugby,1,20,Team,y
258,female,5,159,51,University,netball,0,19,Team,y
259,male,8,181,68,University,basketball,0,19,Team,y
260,male,2,175,90,University,rugby,0,19,Team,y
261,male,4,197,80,University,football,1,21,Team,y
262,male,10,183,68,University,basketball,1,20,Team,y
263,female,10,161,54,National/International,other,0,20,Individual,y
264,female,0,164,71,University,other,0,20,Individual,y
265,male,9,182,66,University,gym,0,20,Individual,y
266,male,1,184,83,University,other,0,20,Individual,y
267,male,8,169,81,University,football,0,19,Team,y
268,male,7,172,72,University,football,1,20,Team,y
269,female,3,175,80,University,football,0,20,Team,y
270,female,10,173,62,University,other,0,20,Individual,y
271,male,2,175,79,Recreational,football,0,20,Team,y
272,male,10,170,91,University,hockey,1,20,Team,y
273,male,3,176,104,University,rugby,1,21,Team,y
274,male,3,172,72,University,other,0,20,Individual,y
275,male,0,172,99,University,rugby,0,19,Team,y
276,male,10,177,76,University,other,0,19,Individual,y
277,male,3,182,103,University,football,0,20,Team,y
278,male,0,178,79,Recreational,other,1,21,Individual,y
279,female,8,156,52,University,football,0,20,Team,y
280,female,6,165,58,Recreational,gym,0,20,Individual,y
281,male,8,178,79,University,basketball,0,20,Team,y
282,male,10,193,89,National/International,basketball,1,18,Team,y
283,male,8,187,95,National/International,basketball,0,26,Team,y
284,male,4,180,67,University,basketball,0,26,Team,y
285,male,9.5,176,74,University,basketball,1,20,Team,y
286,male,14,185,81,National/International,basketball,1,18,Team,y
287,male,14,173,64,University,basketball,1,19,Team,y
288,male,18,179,90,University,basketball,1,20,Team,y
289,male,23,182,91,University,basketball,1,20,Team,y
290,male,8,190,89,University,basketball,1,21,Team,y
291,male,6,179,90,University,basketball,1,19,Team,y
292,male,7,184,73,University,basketball,1,19,Team,y
293,female,4,173.5392,84.68237,National/International,hockey,1,47,Team,n
294,female,8,171.1041,79.09725,National/International,hockey,1,47,Team,n
295,female,4,187.7428,56.51858,National/International,hockey,0,47,Team,n
296,female,4,173.5392,84.68237,National/International,hockey,1,48,Team,n
297,female,4,165.9853,64.8097,National/International,hockey,1,46,Team,n
298,female,5.5,167.7716,76.52054,National/International,hockey,0,47,Team,n
299,female,3,170.0518,72.43856,National/International,athletics,1,47,Individual,n
300,female,6,172.3875,83.6347,National/International,hockey,0,48,Team,n
301,female,6,167.7716,76.52054,National/International,hockey,1,46,Team,n
302,female,9,165.536,69.08074,National/International,hockey,0,47,Team,n
303,female,8,176.3198,55.59801,National/International,hockey,0,49,Team,n
304,female,3,163.2388,64.44952,National/International,hockey,0,49,Team,n
305,female,3,175.5324,79.5936,University,hockey,1,46,Team,n
306,female,4,151.4528,76.15301,National/International,hockey,1,49,Team,n
307,female,5,166.9089,63.00389,National/International,hockey,1,49,Team,n
308,female,5,183.2524,66.83325,University,hockey,1,47,Team,n
309,female,5,172.0347,60.84162,National/International,hockey,1,48,Team,n
310,male,5,166.9089,63.00389,University,cricket,0,20,Team,y
311,male,14,166.4354,51.45408,University,cricket,1,20,Team,y
312,male,5,176.5281,78.97345,University,cricket,1,20,Team,y
313,female,8,160.5519,61.60016,University,cricket,0,20,Team,y
314,male,10,158.7637,72.63907,University,cricket,0,20,Team,y
315,female,6,176.5281,78.97345,University,cricket,0,18,Team,y
316,female,6,148.4224,69.52637,University,cricket,0,18,Team,y
317,female,5,157.9706,56.63218,University,cricket,0,20,Team,y
318,male,6,180.8523,66.24706,University,cricket,1,19,Team,y
319,male,6,181.6794,72.61051,University,cricket,1,20,Team,y
320,male,10,157.9706,56.63218,University,cricket,0,18,Team,y
321,male,4,160.5341,78.16999,University,cricket,1,18,Team,y
322,male,4,184.5178,67.34579,University,cricket,1,21,Team,y
323,male,4,162.2781,55.72771,National/International,cricket,1,19,Team,y
324,male,8,169.6819,58.56,University,cricket,0,21,Team,y
325,male,8,165.847,87.1752,University,cricket,1,20,Team,y
326,male,6,167.9083,59.87853,University,cricket,0,20,Team,y
327,male,6,165.9378,68.69025,University,cricket,0,27,Team,y
328,male,5,165.847,87.1752,University,cricket,1,19,Team,y
329,male,12,163.788,102,University,hockey,1,21,Team,y
330,male,7,159,53,University,rugby,1,21,Team,y
331,female,5,187,106,University,hockey,0,19,Team,y
332,female,4,169,68,University,other,0,19,Individual,y
333,female,6,159,53,University,rugby,0,19,Team,y
334,male,8,165,60,University,gym,1,20,Individual,y
335,female,7,163,57,University,gym,0,19,Individual,y
336,female,8,160,52,University,gym,0,19,Individual,y
337,female,8,171,68,University,gym,0,19,Individual,y
338,male,5,198,112,University,rugby,1,19,Team,y
339,male,7,185,85,Recreational,basketball,0,19,Team,y
340,female,6,163,59,University,hockey,0,19,Team,y
341,male,4,173,62,University,hockey,1,23,Team,y
342,male,21,204,100,University,other,1,19,Individual,y
343,female,13,160.4067,60.46251,National/International,other,1,21,Individual,y
344,female,5,176.9873,75.52056,University,otherteam,1,19,Team,y
345,male,9,178.2818,89.59132,University,rugby,1,19,Team,y
346,male,10,169.1571,66.42013,University,athletics,1,19,Individual,y
347,male,20,157.7914,63.33118,University,basketball,0,20,Team,y
348,male,8,157.6159,88.1017,University,rugby,0,21,Team,y
349,female,4,179.0182,65.80328,National/International,hockey,1,40,Team,n
350,female,15,161.7024,69.53667,National/International,hockey,1,40,Team,n
351,female,3,158.9134,60.64248,National/International,hockey,1,35,Team,n
