id,time,FFFS,BIS,BAS,GDP,I,RI,RR
71,3,8,50,63,28,9,5,21
71,4,8,44,67,28,10,7,22
72,1,19,38,66,24,11,8,23
73,1,21,36,70,21,15,13,21
74,1,16,26,57,16,16,8,17
75,1,29,52,71,19,19,9,24
76,1,17,54,83,26,19,10,28
77,1,26,39,82,22,25,9,26
78,1,28,41,79,23,20,10,26
79,1,20,41,60,17,17,6,20
80,1,12,27,65,23,14,10,18
80,2,13,27,65,26,14,11,14
80,3,13,32,70,25,16,8,21
80,4,13,43,59,21,14,8,16
81,1,10,27,78,26,17,15,20
81,2,13,24,61,21,15,10,15
81,3,11,25,67,24,17,10,16
81,4,12,28,74,23,18,13,20
82,1,23,46,81,27,18,13,23
82,2,19,46,82,27,17,13,25
82,3,21,41,77,21,21,11,24
83,1,13,53,72,27,12,10,23
83,2,16,42,66,27,12,6,21
83,3,17,46,58,21,10,6,21
83,4,19,41,74,26,15,8,25
84,1,16,27,76,23,19,10,24
84,2,17,27,70,22,19,8,21
84,3,18,31,78,24,20,11,23
84,4,21,33,76,27,18,8,23
85,1,22,38,71,26,16,10,19
85,2,18,35,74,26,15,10,23
85,3,13,30,75,27,15,8,25
85,4,18,27,71,24,13,12,22
86,1,14,36,66,22,17,8,19
86,2,14,32,56,15,16,6,19
86,3,14,37,61,19,17,8,17
86,4,16,36,58,17,16,6,19
87,1,19,47,71,25,15,8,23
87,2,19,52,64,18,17,5,24
88,1,14,39,60,18,13,14,15
88,2,11,47,73,21,17,14,21
88,4,15,33,70,19,18,14,19
89,1,17,32,69,20,16,9,24
89,2,18,37,73,20,16,10,27
89,3,15,35,64,23,12,7,22
89,4,16,37,70,23,15,10,22
90,1,17,33,70,23,15,13,19
90,2,17,35,68,19,18,10,21
91,1,25,53,93,26,27,15,25
91,2,23,47,80,24,22,11,23
91,3,20,40,74,23,20,10,21
92,1,8,39,58,20,17,6,15
92,2,11,46,52,19,13,7,13
92,3,13,47,56,20,14,8,14
92,4,13,49,62,21,16,10,15
93,1,19,38,57,19,14,7,17
93,2,18,35,68,21,16,9,22
93,3,24,40,57,14,14,7,22
93,4,18,39,55,18,15,5,17
94,1,20,40,67,19,17,11,20
94,2,20,42,59,18,15,10,16
94,3,19,40,64,15,18,10,21
94,4,17,37,60,18,14,10,18
95,1,22,46,72,19,23,11,19
95,2,24,43,70,21,19,10,20
95,3,21,35,72,20,21,9,22
95,4,24,38,72,22,18,10,22
96,1,17,40,71,21,21,8,21
96,2,9,49,67,17,20,10,20
96,3,12,49,74,23,23,9,19
97,1,13,35,63,22,14,8,19
97,2,13,32,62,22,14,9,17
97,3,12,31,55,21,13,5,16
97,4,8,40,65,26,13,8,18
98,1,16,39,83,24,19,10,30
98,2,14,36,71,24,16,7,24
98,3,14,39,69,21,14,9,25
98,4,16,36,79,23,18,9,29
99,1,13,38,63,18,16,11,18
99,2,10,27,46,17,10,7,12
99,3,14,33,55,20,13,8,14
99,4,13,29,66,24,14,10,18
100,1,16,46,83,27,21,12,23
100,2,17,42,92,26,24,14,28
100,3,19,41,98,28,25,15,30
100,4,17,33,95,28,21,16,30
101,1,18,32,69,22,18,8,21
101,2,17,42,76,22,22,10,22
102,1,16,23,59,20,14,7,18
102,2,21,22,53,18,12,7,16
102,3,18,27,64,22,16,8,18
102,4,18,21,55,18,14,7,16
103,1,13,45,71,22,23,9,17
103,2,23,41,69,16,20,10,23
103,3,19,35,72,20,20,10,22
103,4,23,47,77,20,20,11,26
