id,time,FFFS,BIS,BAS,GDP,I,RI,RR
281,1,23,22,52,18,12,10,12
281,2,14,25,63,21,13,11,18
281,4,16,21,54,15,13,9,17
282,1,13,31,53,15,12,10,16
283,1,24,42,66,26,11,11,18
283,2,24,48,68,28,13,12,15
283,3,22,43,70,27,12,12,19
283,4,22,45,67,26,12,7,22
284,1,18,43,67,19,14,8,26
284,2,18,54,67,17,17,10,23
285,1,11,42,63,21,16,9,17
285,2,13,38,65,20,20,11,14
285,3,10,37,67,19,19,11,18
285,4,8,33,66,22,16,10,18
286,1,15,48,60,21,14,5,20
286,2,16,41,61,20,13,9,19
286,4,16,44,73,23,16,12,22
287,1,14,47,72,24,18,9,21
287,2,17,48,69,20,18,9,22
287,4,14,44,69,19,18,9,23
288,1,20,47,86,27,20,16,23
289,1,15,59,95,25,26,16,28
289,2,13,50,92,27,23,16,26
290,1,21,60,99,26,26,16,31
291,1,15,38,54,20,14,6,14
291,2,14,45,56,20,15,5,16
291,4,12,36,57,20,14,8,15
292,1,27,35,88,21,26,11,30
293,1,15,33,80,27,15,11,27
293,2,16,26,64,22,11,12,19
293,3,18,26,68,22,11,10,25
293,4,18,39,77,26,11,13,27
294,1,13,20,52,15,14,9,14
294,2,11,19,52,16,14,9,13
294,3,8,17,49,15,14,9,11
294,4,31,46,65,18,18,10,19
295,1,16,41,56,16,20,8,12
295,2,14,38,53,13,19,7,14
295,3,14,36,54,12,22,9,11
295,4,13,31,57,13,21,7,16
296,1,28,48,69,21,16,10,22
296,2,29,45,72,20,15,12,25
296,3,30,50,67,22,14,9,22
297,1,23,48,68,24,16,9,19
297,2,23,49,74,26,17,9,22
297,3,22,45,73,27,16,8,22
297,4,25,55,71,25,16,9,21
298,1,12,25,52,8,18,9,17
298,2,14,24,59,15,15,9,20
298,3,16,22,56,13,18,9,16
298,4,12,23,60,12,18,10,20
299,1,14,43,59,17,16,8,18
300,1,17,42,60,27,9,6,18
300,4,15,39,69,27,12,9,21
301,1,21,35,62,20,13,6,23
301,2,18,48,67,18,17,9,23
301,3,16,41,58,18,15,7,18
301,4,19,41,66,20,16,8,22
302,1,17,40,52,16,10,10,16
302,2,17,50,59,19,14,8,18
302,3,17,49,63,18,17,9,19
303,1,21,40,70,23,16,11,20
303,2,23,40,75,25,19,10,21
303,3,23,41,67,18,17,11,21
304,1,16,29,62,24,10,7,21
304,2,16,28,67,25,12,9,21
304,4,17,24,62,23,11,10,18
305,1,20,30,79,27,14,14,24
305,4,18,24,86,27,18,16,25
306,1,15,30,61,19,16,9,17
306,3,15,34,65,18,19,9,19
307,1,14,35,62,20,15,8,19
307,2,16,28,62,19,17,7,19
307,3,13,22,59,19,13,8,19
307,4,16,31,60,20,17,6,17
308,1,13,34,48,13,14,8,13
308,2,13,33,53,16,16,6,15
308,3,14,34,51,13,15,8,15
308,4,13,38,55,15,17,7,16
309,1,15,45,72,22,11,15,24
309,2,12,40,59,19,13,14,13
309,3,14,45,60,20,13,12,15
309,4,9,44,60,20,10,12,18
310,1,17,23,52,16,10,7,19
310,2,22,25,56,12,15,7,22
311,1,20,39,64,22,15,10,17
311,2,21,47,77,25,20,8,24
312,1,15,34,73,19,21,10,23
312,2,18,28,71,22,17,11,21
313,1,25,51,48,16,11,8,13
314,1,17,45,49,16,12,7,14
314,4,17,51,53,17,13,9,14
315,1,32,39,75,24,15,11,25
316,1,28,34,81,21,19,12,29
317,1,25,32,70,26,17,7,20
318,1,16,32,76,25,17,9,25
318,2,18,33,70,22,19,8,21
319,1,17,42,79,25,20,9,25
320,1,9,33,48,19,11,7,11
320,2,10,47,54,21,13,7,13
320,4,9,51,59,23,17,8,11
321,1,18,31,74,26,17,8,23
321,2,23,36,77,28,16,9,24
321,4,19,45,73,28,11,7,27
322,1,13,37,47,16,12,6,13
323,1,13,33,62,21,14,11,16
324,1,18,35,58,17,17,8,16
324,2,22,40,58,14,18,7,19
325,1,16,32,90,27,23,15,25
326,1,13,25,78,25,16,13,24
327,1,12,22,70,26,12,11,21
328,1,18,44,63,21,17,11,14
328,2,25,39,66,26,13,11,16
329,1,21,56,90,18,24,16,32
330,1,15,31,52,17,14,9,12
331,1,14,62,75,24,16,10,25
332,1,21,45,66,18,22,6,20
333,1,19,40,61,19,14,9,19
334,1,19,25,69,18,17,9,25
334,2,18,30,83,26,21,11,25
335,1,12,30,66,23,18,9,16
336,1,18,39,73,23,20,10,20
337,1,15,35,71,23,17,10,21
338,1,15,43,74,22,20,9,23
339,1,16,23,71,20,20,10,21
340,1,23,40,60,18,14,8,20
341,1,11,24,80,22,23,12,23
342,1,11,51,53,16,14,8,15
343,1,12,53,83,27,21,10,25
343,4,17,48,73,27,18,9,19
344,1,22,51,74,24,18,12,20
345,1,8,19,68,21,16,11,20
345,4,10,17,59,23,14,8,14
346,1,17,25,70,25,15,10,20
346,4,14,27,65,22,14,11,18
347,1,22,55,80,24,24,9,23
348,1,13,32,73,22,21,10,20
349,1,19,36,62,18,16,8,20
350,1,14,44,53,16,12,10,15
350,2,13,38,55,16,13,10,16
351,1,21,42,57,21,9,9,18
351,2,23,44,66,22,12,12,20
351,4,20,43,51,17,12,6,16
