id,time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65
340,1,3,1,3,3,3,3,4,2,4,3,3,3,2,2,2,3,3,2,2,2,1,1,1,4,3,3,1,1,1,2,3,2,1,2,2,3,3,2,4,1,3,4,4,4,3,3,3,1,1,2,4,2,2,2,2,3,1,3,3,3,2,2,4,2,2
341,1,1,1,4,3,4,2,3,1,1,1,3,3,2,3,3,2,2,2,2,3,1,2,3,4,3,3,4,4,2,4,4,3,2,1,3,4,3,4,2,1,3,3,1,4,2,1,1,1,3,2,4,1,4,3,2,2,1,1,2,1,1,1,1,1,2
342,1,4,4,2,2,3,2,2,1,1,2,4,3,4,2,2,3,3,3,2,2,3,3,2,2,2,2,2,2,3,1,2,1,3,4,3,2,2,2,1,1,2,2,4,2,2,1,4,1,2,4,2,2,1,2,2,2,2,1,2,2,3,2,3,3,2
343,1,4,4,4,4,4,2,2,2,1,2,4,4,4,2,2,2,4,3,3,4,2,2,2,4,4,4,4,4,3,4,4,2,2,4,4,3,4,3,2,2,4,4,4,3,3,1,4,1,3,4,3,2,3,3,4,4,3,1,1,2,4,3,2,2,4
344,1,4,2,2,2,4,4,2,1,1,3,3,4,3,3,2,4,2,4,4,3,3,3,1,4,4,3,2,1,2,2,3,3,3,4,4,4,2,3,4,3,4,3,4,2,4,1,4,4,2,2,4,2,2,2,3,3,2,3,3,3,3,3,3,2,4
345,1,2,1,1,1,3,1,1,3,1,1,3,3,3,3,2,3,1,1,1,3,1,1,2,4,3,3,2,3,1,2,3,3,2,2,3,3,3,2,1,1,3,1,1,4,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,3
346,1,2,1,2,3,4,1,2,1,2,1,4,4,3,2,2,3,2,2,2,2,1,1,1,4,2,4,1,2,2,3,4,3,1,1,3,4,3,2,3,2,4,2,2,4,3,2,1,1,1,2,3,2,2,3,2,2,1,3,1,1,1,1,2,1,4
347,1,3,2,4,3,3,3,3,3,2,2,4,4,3,2,2,4,4,2,2,3,2,4,4,4,3,3,3,4,4,2,4,2,4,4,3,2,2,3,2,4,4,4,2,2,2,4,4,2,1,4,4,4,3,3,4,4,3,4,2,4,4,2,4,4,3
348,1,2,1,2,2,3,2,4,2,3,2,2,4,2,2,3,3,2,2,1,3,1,3,2,3,3,3,3,2,1,2,3,2,4,1,3,3,3,3,1,2,3,2,3,4,2,1,1,1,2,2,4,2,4,3,2,2,1,2,1,2,2,1,2,3,3
349,1,3,1,4,1,3,2,3,2,1,2,3,3,4,2,2,3,4,3,3,3,2,2,2,4,4,3,2,3,2,3,2,2,1,2,2,3,2,2,4,1,2,3,3,3,4,3,3,3,2,2,3,2,2,3,3,2,1,1,1,2,1,2,2,2,2
350,1,3,2,1,1,2,1,2,2,1,2,3,3,3,3,3,2,2,3,1,2,2,2,1,3,2,3,1,1,3,2,1,2,1,2,2,2,3,2,1,2,3,3,3,1,1,1,2,4,2,4,3,1,1,3,3,3,4,1,4,4,3,3,2,3,2
351,1,2,2,3,2,3,2,1,2,1,1,3,3,3,2,2,3,3,3,3,3,2,2,1,3,3,4,1,1,2,2,3,2,3,3,3,2,3,1,2,1,3,3,3,1,4,3,3,4,2,3,2,2,2,3,2,3,3,2,3,2,3,2,2,2,3
