id,time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65
287,1,2,3,2,2,3,1,1,2,1,2,4,4,3,2,2,3,3,4,2,3,1,3,2,4,3,3,2,2,2,4,4,2,2,2,3,2,3,3,2,3,3,4,3,3,2,1,2,2,2,4,2,2,3,4,3,4,4,2,2,2,4,2,4,3,3
288,1,2,2,4,3,4,2,3,2,2,3,4,4,4,4,4,3,4,4,2,3,1,3,4,4,2,4,4,2,2,3,4,4,3,3,4,3,3,3,1,2,4,4,4,2,4,3,2,2,3,4,4,4,3,4,3,3,4,2,2,2,2,2,3,1,4
289,1,4,3,4,3,4,4,2,4,1,2,4,4,4,4,4,4,3,4,2,4,3,4,3,4,4,4,4,3,4,3,4,4,2,4,4,4,3,4,2,3,4,4,4,4,1,1,4,1,3,4,4,4,4,3,3,4,4,1,4,2,4,1,4,2,2
290,1,4,3,2,4,4,4,2,3,1,1,4,4,3,4,4,4,4,4,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,4,4,4,4,4,1,4,2,4,4,4,4,4,4,4,4,4,2,4,4,4,2,2,4,4
291,1,2,3,1,2,3,1,2,1,1,3,4,4,3,2,1,2,1,2,1,3,2,1,1,4,2,2,4,3,3,2,2,1,1,1,2,2,2,2,4,2,2,2,4,1,3,1,2,2,1,2,1,1,2,4,2,2,3,2,1,2,3,1,2,1,2
292,1,2,1,4,4,3,1,1,4,4,1,4,4,4,3,3,4,2,4,4,4,1,4,4,4,4,4,4,4,3,4,3,2,2,1,3,4,2,2,3,4,4,3,3,4,4,4,1,4,4,4,4,3,4,2,2,2,4,1,4,1,2,2,1,1,1
293,1,2,1,4,2,4,1,1,3,2,1,3,3,3,2,2,4,4,2,2,4,1,2,4,4,4,3,2,1,1,3,4,3,1,1,4,3,4,3,1,2,4,3,4,2,4,1,2,1,3,3,3,1,2,4,2,3,1,2,3,1,2,1,3,2,4
294,1,1,1,3,1,3,1,2,1,2,1,4,3,3,3,1,2,2,2,1,3,1,2,1,3,3,4,2,1,1,2,2,2,1,2,3,2,2,2,3,1,1,2,2,4,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2
295,1,2,2,3,1,3,4,4,1,2,4,3,2,4,1,2,2,2,2,2,3,4,3,2,3,2,2,2,2,2,1,1,1,2,1,4,2,1,3,1,2,1,3,2,4,4,2,3,2,2,3,4,1,2,3,2,1,3,1,3,2,2,1,1,2,3
296,1,2,3,4,3,4,3,4,2,4,2,3,3,3,3,2,3,4,3,3,3,2,2,2,4,3,3,2,3,2,3,3,2,3,3,3,3,3,2,4,2,2,3,4,2,4,4,3,2,2,3,3,2,3,3,2,3,3,4,4,2,3,2,3,2,3
297,1,2,2,3,2,4,2,3,2,2,3,3,4,3,2,2,2,3,3,2,3,2,1,1,3,4,2,2,2,3,4,2,2,3,2,3,2,2,2,4,2,3,3,4,4,4,4,3,2,2,3,3,3,2,4,3,3,3,2,2,2,3,2,4,2,4
298,1,2,1,2,2,2,2,3,2,1,1,4,1,2,2,2,3,3,2,1,1,1,1,1,4,2,4,1,2,1,3,1,2,1,1,3,2,2,3,1,3,1,3,3,4,3,2,1,2,3,1,4,1,3,1,2,1,1,1,1,1,1,1,2,1,1
299,1,2,2,3,3,2,3,4,2,1,2,2,3,2,2,2,3,4,3,1,3,2,2,2,4,2,2,4,2,1,2,3,2,2,3,2,2,2,2,3,1,2,3,4,3,3,1,2,1,2,3,2,1,1,2,2,2,3,1,3,3,2,2,3,2,2
300,1,2,1,3,3,4,2,2,1,1,2,3,4,4,2,2,3,3,2,1,4,2,1,1,4,3,1,2,1,2,1,4,1,2,1,1,3,3,1,1,1,4,3,3,2,3,3,4,1,2,4,1,1,1,3,2,2,3,4,3,3,3,1,2,2,4
301,1,2,1,3,4,4,2,1,2,2,2,4,2,2,1,1,2,3,2,1,3,1,3,2,4,4,2,2,1,2,2,2,1,1,3,3,4,3,1,2,1,4,3,3,3,4,1,3,4,2,3,2,3,2,3,3,3,1,4,1,2,1,1,3,2,2
302,1,2,2,3,3,3,1,1,1,1,1,4,3,4,3,2,2,3,2,1,2,2,1,1,3,2,3,2,1,3,3,2,2,3,3,3,2,2,1,4,1,1,2,3,3,4,3,3,2,2,3,1,1,1,3,3,3,4,1,1,1,1,1,3,2,2
303,1,2,2,4,2,4,2,3,1,2,2,4,4,4,3,1,4,4,2,2,2,1,1,1,4,4,4,1,2,1,3,4,4,2,2,3,3,2,2,1,2,3,3,4,4,4,4,4,2,2,4,4,2,2,3,2,3,3,2,4,1,1,2,2,2,3
304,1,2,1,3,2,4,1,1,2,1,1,3,4,4,1,2,4,2,3,3,2,1,1,1,4,4,4,1,1,1,3,4,2,1,1,2,2,3,1,4,1,3,3,3,2,4,1,1,2,1,2,3,1,1,4,2,2,1,2,1,2,2,2,3,1,3
305,1,1,1,3,2,4,1,1,1,3,1,4,4,4,3,4,4,2,2,1,4,1,1,3,4,4,4,1,2,1,3,4,3,1,2,4,3,4,2,3,2,4,2,2,4,3,1,2,1,1,4,2,3,3,3,1,2,4,2,4,1,2,1,2,1,4
306,1,1,1,3,4,2,2,2,1,1,2,3,2,4,2,3,2,2,3,1,3,1,3,2,3,4,2,2,1,1,1,4,2,1,3,2,2,1,3,2,2,4,2,3,2,4,4,2,1,2,1,3,1,3,2,2,2,2,1,1,2,1,1,3,2,2
307,1,2,1,4,2,3,2,4,2,2,3,3,3,3,1,2,3,3,3,2,3,2,1,2,4,3,4,2,1,2,2,4,2,1,2,3,2,3,3,2,2,2,3,3,4,3,2,2,1,2,2,2,2,1,2,1,2,2,1,1,2,1,1,2,1,3
308,1,3,2,4,2,2,2,1,1,1,2,3,2,2,2,2,2,2,1,2,2,2,1,1,4,2,3,2,2,1,1,1,2,2,1,2,2,2,1,3,1,2,3,3,4,3,1,2,1,2,2,3,2,2,2,2,2,2,1,1,2,1,2,3,2,2
309,1,2,2,3,3,4,4,1,3,1,3,4,4,4,4,4,4,4,4,1,3,2,3,3,4,3,3,2,1,3,2,4,4,3,4,3,3,3,1,4,1,2,3,4,1,2,2,4,2,2,2,2,1,2,3,3,2,1,1,2,1,2,2,2,1,2
310,1,2,1,3,3,2,1,2,1,1,1,4,4,3,2,1,2,2,2,1,2,1,2,1,4,4,3,1,1,1,4,3,2,1,1,2,3,1,1,2,1,2,2,2,2,2,2,1,2,3,2,2,1,2,2,3,1,1,4,3,1,1,1,2,1,1
311,1,1,2,2,2,4,1,3,1,2,1,4,4,4,4,2,3,2,2,2,2,2,3,2,4,2,3,2,2,2,2,4,2,4,4,2,3,2,2,2,2,4,2,4,2,2,4,2,3,2,2,2,3,2,2,2,4,2,2,2,2,2,1,4,2,2
312,1,3,1,3,3,3,2,4,1,1,2,3,3,3,2,2,3,3,2,1,2,1,2,2,4,4,3,3,3,2,4,3,3,3,3,3,3,3,2,2,3,4,3,3,4,4,1,2,3,2,2,4,1,2,2,3,2,2,1,2,1,1,2,2,1,2
313,1,3,2,3,1,2,4,4,1,2,2,3,3,3,2,1,2,3,3,4,2,3,2,1,2,2,3,1,2,3,2,2,2,3,4,3,2,2,1,4,2,2,2,4,1,4,4,4,3,2,4,2,3,2,3,4,2,3,2,3,3,3,4,2,3,2
314,1,2,2,2,1,2,3,4,2,2,3,3,3,2,2,2,2,2,2,1,2,3,1,1,2,3,2,2,1,3,1,3,1,3,2,2,2,2,2,2,2,2,3,3,2,2,2,3,2,2,3,2,2,1,2,2,3,2,2,3,3,3,1,2,1,2
315,1,2,1,3,2,4,3,3,3,4,2,4,4,3,3,3,4,3,2,4,3,2,2,3,4,4,4,1,1,2,3,4,2,1,2,3,3,3,2,4,4,4,2,4,2,4,4,2,4,2,3,3,4,3,2,3,3,3,4,4,2,2,3,2,1,3
316,1,2,1,4,2,4,3,2,4,4,1,4,3,3,3,2,4,3,2,4,4,1,3,4,4,3,4,2,2,2,4,2,3,1,2,4,4,4,4,4,2,4,4,4,2,4,4,2,2,1,2,4,4,2,2,3,2,1,4,2,2,1,2,4,1,2
317,1,3,2,3,2,4,1,1,1,2,2,4,4,4,2,1,3,3,3,2,3,1,1,2,4,4,4,4,2,2,3,4,2,1,1,2,2,3,2,4,2,3,2,3,4,4,4,2,4,2,2,2,2,3,4,2,2,1,2,3,1,1,2,2,1,4
318,1,2,1,3,3,4,1,2,3,1,1,3,4,3,3,1,3,1,2,3,3,2,2,2,4,4,4,1,2,1,3,4,2,1,2,3,4,3,3,2,4,4,1,3,3,4,2,3,1,3,3,2,3,2,3,2,3,2,1,2,2,2,2,2,1,3
319,1,4,3,3,3,4,1,1,3,2,2,3,3,2,2,2,3,2,3,2,4,1,3,3,4,3,3,2,3,4,4,3,2,2,1,3,3,3,3,3,1,3,3,3,4,2,1,2,2,3,2,4,2,3,4,3,2,3,3,2,3,2,2,3,2,4
320,1,1,2,1,1,3,1,3,1,1,2,3,2,2,2,2,1,2,1,1,2,3,2,1,4,2,2,2,1,2,2,3,1,2,2,2,2,1,1,1,1,3,3,1,1,2,1,2,1,2,2,3,1,2,3,1,2,3,1,1,3,2,1,2,2,3
321,1,2,1,4,2,4,2,1,1,1,2,4,4,3,2,1,4,2,3,3,3,1,2,2,4,4,3,3,2,2,4,4,2,1,3,3,3,3,1,3,2,4,2,3,4,4,3,2,1,2,3,3,3,2,4,2,2,1,1,2,1,1,1,2,2,3
322,1,2,2,2,1,3,1,3,1,1,2,3,3,1,2,1,2,2,2,1,2,3,2,1,4,3,2,1,2,2,1,3,1,1,1,2,2,2,1,2,1,2,1,2,3,2,1,2,1,2,3,2,1,1,2,2,3,2,3,2,3,3,1,2,2,1
323,1,2,2,2,1,3,3,3,1,1,1,4,3,3,3,2,3,3,2,3,2,2,2,1,4,3,3,2,2,1,2,4,3,2,3,3,3,2,2,2,1,3,2,3,2,3,2,2,1,2,2,3,2,1,3,2,2,1,1,1,2,2,1,1,1,3
324,1,2,2,3,1,2,2,2,2,1,2,3,3,2,2,2,2,2,2,1,2,2,2,2,3,3,3,3,3,3,2,3,2,2,1,2,2,2,2,3,1,2,2,2,2,2,1,2,1,2,2,4,2,2,3,3,2,2,4,4,2,2,3,2,2,2
325,1,2,1,2,2,3,1,2,3,1,1,4,4,4,3,4,3,1,1,3,4,1,4,2,4,4,4,4,3,2,4,4,4,2,1,4,4,3,3,1,4,4,4,3,1,4,2,3,1,2,4,4,4,4,4,1,3,3,2,1,1,2,1,1,1,4
326,1,2,2,3,3,3,1,1,3,1,1,4,4,4,4,2,3,2,2,2,4,1,3,2,2,3,4,1,1,1,3,4,3,2,1,4,4,3,2,2,1,3,1,2,4,2,1,1,1,1,1,4,1,2,3,3,1,1,1,4,1,2,1,2,2,4
327,1,2,1,3,2,4,1,1,3,1,1,3,4,4,3,2,2,2,1,1,4,1,2,2,4,3,3,1,2,1,2,4,3,2,1,3,4,3,2,2,1,4,1,2,2,2,3,1,1,1,2,2,1,1,3,1,1,1,1,1,1,1,1,1,1,3
328,1,2,2,3,2,3,1,3,2,3,3,4,4,3,3,2,2,4,3,2,3,1,2,1,3,3,3,1,2,2,2,3,3,2,4,3,1,1,3,2,2,3,2,4,3,3,3,3,1,2,4,4,3,2,2,3,3,2,1,2,4,2,2,2,2,3
329,1,4,2,2,4,2,3,2,4,2,2,4,3,3,4,4,4,4,3,3,2,2,3,4,4,4,4,4,4,3,4,3,4,4,3,4,4,4,4,3,4,2,4,4,4,4,4,4,2,4,4,1,2,4,4,2,4,4,3,1,2,3,2,4,2,2
330,1,2,1,3,1,3,2,3,2,3,3,3,3,2,3,2,3,1,2,1,2,1,1,1,2,1,3,1,1,2,1,3,2,2,3,2,1,2,3,2,1,2,2,3,3,4,1,2,1,1,2,4,1,2,2,3,3,1,2,1,2,1,1,1,1,2
331,1,4,3,3,3,3,4,4,1,1,1,3,3,3,1,3,4,4,4,2,3,4,2,3,1,3,3,4,1,4,3,4,4,4,4,2,4,4,2,1,1,4,3,4,2,1,3,4,1,1,4,4,2,2,3,3,4,4,3,2,2,4,2,4,1,4
332,1,2,3,3,2,3,3,4,2,2,4,3,3,3,1,2,2,3,3,2,2,2,3,2,4,3,2,3,2,2,3,3,2,2,3,1,3,3,3,2,3,3,2,4,4,4,1,3,3,2,3,4,2,3,1,3,3,2,4,3,2,2,3,2,2,3
333,1,2,1,2,2,3,3,3,2,1,2,4,3,3,2,2,3,2,3,2,2,2,2,2,4,3,3,2,2,2,3,3,2,2,3,3,2,2,2,3,2,3,2,3,2,3,2,3,3,2,3,2,3,2,2,3,3,2,1,3,2,3,2,2,3,3
334,1,2,1,4,2,2,1,3,4,1,1,3,2,3,3,4,2,1,1,2,3,1,4,4,4,4,4,2,4,1,4,4,1,1,2,1,2,3,3,2,2,2,3,1,1,4,1,2,1,4,4,1,4,3,3,3,1,1,2,4,4,1,1,1,1,2
335,1,2,1,4,2,3,2,3,2,1,1,4,3,4,2,2,4,1,2,1,3,1,2,1,2,2,2,1,1,2,2,3,2,1,1,3,1,2,2,2,4,3,3,4,4,4,1,1,1,1,2,4,1,4,4,2,2,2,1,1,1,2,1,3,1,4
336,1,2,1,2,2,3,3,3,1,2,2,4,4,4,3,2,3,2,3,2,3,2,3,3,3,3,3,3,3,2,3,4,2,3,2,3,3,2,2,2,2,3,2,3,3,3,3,2,2,2,3,4,2,3,3,2,2,2,2,2,3,2,3,2,3,3
337,1,2,1,3,2,4,3,1,3,1,1,4,4,4,3,2,3,4,2,3,3,1,2,2,4,3,3,2,1,3,2,4,2,1,2,3,3,3,2,4,2,3,3,4,4,4,2,2,1,1,2,4,1,2,2,1,1,2,1,1,1,2,1,3,1,3
338,1,2,2,3,3,3,2,2,2,2,3,4,4,4,2,1,3,4,4,1,3,2,2,2,4,4,4,2,4,2,3,3,2,3,3,4,3,3,3,2,1,3,3,4,4,2,1,3,1,2,2,4,3,2,4,4,2,2,3,1,2,2,1,2,3,2
339,1,2,1,4,2,3,2,2,3,1,2,2,2,2,3,2,3,1,2,1,2,1,1,2,4,3,4,4,1,1,3,3,3,1,2,2,3,2,3,1,3,2,1,1,4,1,1,1,3,2,2,4,4,4,4,2,2,1,4,1,1,1,1,1,1,4
